In/ut;Betalsätt;Konto;Typ;Huvudkategori;Kategori 2;Kategori 3;Kategori 4;Vad;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ 00113 GOTEBORG,GOTEBORG,SE;;;;;;;;;;;;-420.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;BOKUS,STOCKHOLM,SE;;;;;;;;;;;;-39.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;;-500.0
Inkomster;empty;Lönekonto;Fasta;Mobil;empty;empty;empty;Panda -Gustav /Bengt;;;;;;;;;;;;260.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;JULKLAPP ROLF;;;;;;;;;;;;189.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;PRESENT GUNVOR;;;;;;;;;;;;350.0
Inkomster;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;BILHYRA;;;;;;;;;;;;2669.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;BODA HUS;;;;;;;;;;;;1000.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;;;900.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Rivjärn;;;;;;;;;;;;119.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;;;-34.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-80.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;CIRCLE K ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-334.96
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;SHELL GÖTEBORG,,GÖTEBORG,SE;;;;;;;;;;;;-117.81
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;MCDONALDS FROLU,VASTRA FROLUN,SE;;;;;;;;;;;;-84.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;NARA DEJ VETLANDA,VETLANDA,SE;;;;;;;;;;;;-350.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;PREEM,MÅLILLA,SE;;;;;;;;;;;;-351.28
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Bodil;;;;;;;;;;;;-1300.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;9025.19.457.76;;;;;;;;;;;;-9000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;Avbetalning bil Fredrik;;;;;;;;;;;;-1000.0
Utgifter;empty;Lönekonto;Rörligt;Räkningar;empty;empty;empty;9023.78.887.28;;;;;;;;;;;;-15000.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;Försenat Grattis och God Jul;;;;;;;;;;;;500.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;;;;;;;;;;;;-2668.99
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD V,VETLANDA,SE;;;;;;;;;;;;-299.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;;;;;;;;;;;;-296.24
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;;;-34.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;;;-194.3
Inkomster;empty;Lönekonto;Fasta;Lön;empty;empty;empty;Löneinsättning;;;;;;;;;;;;35721.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;;;;-129.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;;;;;;;;;;;;-195.7
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Spotify P12ABBAE9D,Stockholm,SE;;;;;;;;;;;;-99.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;;;;;195.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;K*Bokus AB;;;;;;;;;;;;-779.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;IKANO BANK AB - PREEM;;;;;;;;;;;;-11855.99
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;FREDRIK MOBERG;;;;;;;;;;;;11856.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;JULKLAPPAR BOKUS;;;;;;;;;;;;779.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT, APOTEK, KLÄDER;;;;;;;;;;;;1200.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Pandaförsäljningen;;;;;;;;;;;;119.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;TANKA SISJON,GOTEBORG,SE;;;;;;;;;;;;-105.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;QSTAR VETLANDA,VETLANDA,SE;;;;;;;;;;;;-385.96
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;;;;;;;;;;;;-1263.86
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;BILTEMA SWEDEN VETLAND,VETLANDA,SE;;;;;;;;;;;;-99.7
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD V,VETLANDA,SE;;;;;;;;;;;;-508.5
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;GULF VIRSERUM,VIRSERUM,SE;;;;;;;;;;;;-15.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCDONALD´S LAND,LANDVETTER,SE;;;;;;;;;;;;-86.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD O,OSKARSHAMN,SE;;;;;;;;;;;;-2638.97
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;APOTEK HJARTAT ICA MAX,OSKARSHAMN,SE;;;;;;;;;;;;-143.0
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;APOTEK HJARTAT ICA MAX,OSKARSHAMN,SE;;;;;;;;;;;;-449.8
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;;;;-200.3
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mar Oskarshamn;;;;;;;;;;;;2700.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-15.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-80.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Microsoft*Microsoft 36,msbill.info,IE;;;;;;;;;;;;-64.99
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;K*Elgiganten;;;;;;;;;;;;-1569.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;;;-764.72
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;KJELL & CO 51,VASTRA FROLUN,SE;;;;;;;;;;;;-599.0
Utgifter;empty;Lönekonto;Rörligt;Bidrag;empty;empty;empty;Julklappar Rolf;;;;;;;;;;;;-2000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;9023.78.898.13;;;;;;;;;;;;-16000.0
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;AmazonMktplc*MS9LG7FO4,www.amazon.se,LU;;;;;;;;;;;;-1455.67
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;GOD JUL;;;;;;;;;;;;20000.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;JULKLAPPAR AMAZON;;;;;;;;;;;;655.0
Inkomster;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;MOBL BARNEN;;;;;;;;;;;;189.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;;;150.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS SISJÖN,ASKIM,SE;;;;;;;;;;;;-114.14
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;NETFLIX.COM,020790637,NL;;;;;;;;;;;;-89.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;;;-99.0
Inkomster;empty;Lönekonto;Fasta;Skatt;empty;empty;empty;ÅterbäringLF;;;;;;;;;;;;524.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Storytel Sweden AB,Stockholm,SE;;;;;;;;;;;;-9.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;PRESSBYRÅN 4150145,GÖTEBORG,SE;;;;;;;;;;;;-26.0
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;ELGIGANTEN AB,GÖTEBORG,SE;;;;;;;;;;;;-1989.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;;;-112.85
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;;;-79.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;;;-324.3
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;;-926.74
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;;-674.27
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;K*Tidningsku;;;;;;;;;;;-199.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;;;;;;;;;;;-167.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;;1600.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;9025.19.457.76;;;;;;;;;;;-9000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;Avbetalning bil Fredrik;;;;;;;;;;;-1000.0
Utgifter;empty;Lönekonto;Rörligt;Räkningar;empty;empty;empty;9023.78.887.28;;;;;;;;;;;-15000.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCDONALD´S LAND,LANDVETTER,SE;;;;;;;;;;;-86.0
Inkomster;empty;Lönekonto;Fasta;Lön;empty;empty;empty;Löneinsättning;;;;;;;;;;;35721.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;;;-877.44
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;CIRCLE K NESSJO,NESSJO,SE;;;;;;;;;;;-23.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;;;-152.8
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Storytel Sweden AB,Stockholm,SE;;;;;;;;;;;-1.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;COOP KONSUM VIRSERUM,VIRSERUM,SE;;;;;;;;;;;-129.95
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD 97 - BORAS,BORAS,SE;;;;;;;;;;;-17.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD 97 - BORAS,BORAS,SE;;;;;;;;;;;-161.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;;;;250.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;DAHLS BAGERI,GOTEBORG,SE;;;;;;;;;;;-38.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;;;;;;;;;;;-714.6
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;CIRCLE K NESSJO,NESSJO,SE;;;;;;;;;;;-38.0
Utgifter;empty;Lönekonto;Rörligt;Fritid;empty;empty;empty;HÖÖKS HÄSTSPORT,BORÅS,SE;;;;;;;;;;;-407.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;Swish till NYA JÄRNBODEN I VIRSERU;;;;;;;;;;;-119.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat Virserum;;;;;;;;;;;1000.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Spotify P123B44EC3,Stockholm,SE;;;;;;;;;;;-99.0
Inkomster;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;Biltema;;;;;;;;;;;1000.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;;;;;;;;;;;-1015.39
Inkomster;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Bil;;;;;;;;;;;1100.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;PodMe,Stockholm,SE;;;;;;;;;;;-69.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;HBO Nordic AB,Stockholm,SE;;;;;;;;;;;-109.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish till SF Anytime AB;;;;;;;;;;;-79.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;;-1038.55
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;K*Tidningsku;;;;;;;;;;;-199.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;PRESENT GUSTAF;;;;;;;;;;;199.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ 00409 GOTEBORG,GOTEBORG,SE;;;;;;;;;;;-1060.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;MICROSOFT*MICROSOFT 36,MSBILL.INFO,IE;;;;;;;;;;;-64.99
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;-19.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;PREEM,ASKIM,SE;;;;;;;;;;;-430.65
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;;;;;;;;;;;-733.33
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;CIRCLE K NESSJO,NESSJO,SE;;;;;;;;;;;-65.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;;-329.65
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;;;;1200.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;-133.0
Inkomster;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Bil;;;;;;;;;;;2500.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;;;-65.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HARVEST BY MANNERSTROM,GOTEBORG,SE;;;;;;;;;;;-55.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HARVEST BY MANNERSTROM,GOTEBORG,SE;;;;;;;;;;;-55.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;;-737.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;NETFLIX.COM,020790637,NL;;;;;;;;;;;-89.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;EKLANDA KROG,MOLNDAL,SE;;;;;;;;;;;-332.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;;;-79.95
Inkomster;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;;;229.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;;350.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;;-76.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;;-53.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HEYNOW.AI,Goteborg,SE;;;;;;;;;;;-153.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;PRESSBYRÅN 4228100,GÖTEBORG,SE;;;;;;;;;;;-115.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;7 ELEVEN 4317142,GÖTEBORG,SE;;;;;;;;;;;-19.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HARVEST BY MANNERSTROM,GOTEBORG,SE;;;;;;;;;;-55.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;;-92.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;GOOGLE*GOOGLE,INTERNET,GB;;;;;;;;;;-39.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Flixbus;;;;;;;;;;-144.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-6.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HARVEST BY MANNERSTROM,GOTEBORG,SE;;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;Bekräfta laddning av 072965418;;;;;;;;;;-100.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Tillf mobil freja;;;;;;;;;;3000.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-6.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;;-96.8
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;TANKA SISJON,GOTEBORG,SE;;;;;;;;;;-466.74
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HARVEST BY MANNERSTROM,GOTEBORG,SE;;;;;;;;;;-55.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;-1066.16
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;-1037.8
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Spotify P11E7660D7,Stockholm,SE;;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;KJELL & CO 51,VASTRA FROLUN,SE;;;;;;;;;;-99.9
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HEMKÖP VÄSTRA FRÖLUNDA,VÄSTRA FRÖLUN,SE;;;;;;;;;;-26.95
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;IKANO BANK AB - PREEM;;;;;;;;;;-1500.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;1066.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;-119.4
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCDONALDS 222 V,VETLANDA,SE;;;;;;;;;;-78.0
